"title_description","base_salary"
"TEACHER","125494.00"
"TEACHER","128657.00"
"TEACHER ATTENDANCE","128657.00"
"TEACHER ASSIGNED A","129880.00"
"SCHOOL SECRETARY","91985.00"
"TEACHER SPECIAL EDUCATION","120263.00"
"TEACHER","128657.00"
"TEACHER","132305.00"
"TEACHER","140588.00"
"TEACHER","128657.00"
"TEACHER ATTENDANCE","140588.00"
"TEACHER","136492.00"
"TEACHER SPECIAL EDUCATION","120039.00"
"TEACHER","140588.00"
"TEACHER","136442.00"
"GUIDANCE COUNSELOR","144525.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"SCHOOL SECRETARY","51312.00"
"SCHOOL SECRETARY","80662.00"
"SCHOOL SECRETARY-REG SUB","53685.00"
"ASSISTANT PRINCIPAL","180460.00"
"ASSISTANT PRINCIPAL","150498.00"
"SCHOOL PSYCHOLGIST","145345.00"
"TEACHER","128657.00"
"PRINCIPAL","198355.00"
"TEACHER","140588.00"
"SCHOOL PSYCHOLGIST","145345.00"
"ASSISTANT PRINCIPAL","185873.00"
"PRINCIPAL","210753.00"
"TEACHER","132467.00"
"TEACHER","140588.00"
"TEACHER","132305.00"
"PRINCIPAL","204920.00"
"TEACHER","128657.00"
"SCHOOL PSYCHOLGIST","145345.00"
"ADULT EDUCATION TEACHER","140583.00"
"PRINCIPAL","216747.00"
"TEACHER","140588.00"
"TEACHER","136492.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"12 MONTH SPECIAL EDUCATION SUPERVISOR","173029.00"
"SCHOOL SECRETARY","88567.00"
"TEACHER SPECIAL EDUCATION","140588.00"
"EDUCATIONAL ADMINISTRATOR CSA","182789.00"
"TEACHER","133777.00"
"TEACHER","122424.00"
"GUIDANCE COUNSELOR","144525.00"
"TEACHER SPECIAL EDUCATION","120039.00"
"SCHOOL SECRETARY","74532.00"
"TEACHER SPECIAL EDUCATION","147048.00"
"GUIDANCE COUNSELOR","144525.00"
"TEACHER ASSIGNED A","140588.00"
"TEACHER","140588.00"
"SCHOOL SECRETARY","89305.00"
"TEACHER","140588.00"
"TEACHER SPECIAL EDUCATION","133777.00"
"TEACHER","140588.00"
"TEACHER","128657.00"
"TEACHER","133777.00"
"TEACHER","117531.00"
"ASSISTANT PRINCIPAL","170100.00"
"TEACHER","140588.00"
"TEACHER","136492.00"
"TEACHER","128451.00"
"PRINCIPAL","200984.00"
"GUIDANCE COUNSELOR","132261.00"
"TEACHER","124710.00"
"TEACHER","140588.00"
"TEACHER","128657.00"
"SCHOOL SOCIAL WORKER","133011.00"
"TEACHER SPECIAL EDUCATION","132305.00"
"TEACHER","140588.00"
"TEACHER","111756.00"
"TEACHER","140588.00"
"ASSISTANT PRINCIPAL","159662.00"
"TEACHER SPECIAL EDUCATION","136492.00"
"TEACHER","140588.00"
"PRINCIPAL","192645.00"
"EDUCATIONAL ADMINISTRATOR CSA","176176.00"
"TEACHER SPECIAL EDUCATION","120039.00"
"TEACHER ATTENDANCE","128657.00"
"TEACHER SPECIAL EDUCATION","140588.00"
"TEACHER SPECIAL EDUCATION","140588.00"
"TEACHER","140588.00"
"SCHOOL PSYCHOLGIST","134489.00"
"TEACHER SPECIAL EDUCATION","140588.00"
"TEACHER","128451.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"PRINCIPAL","204920.00"
"ASSISTANT PRINCIPAL","164453.00"
"TEACHER","119450.00"
"EDUCATIONAL ADMINISTRATOR CSA","158952.00"
"TEACHER","132305.00"
"TEACHER","132305.00"
"TEACHER","140588.00"
"TEACHER","132305.00"
"TEACHER","121677.00"
"TEACHER SPECIAL EDUCATION","140588.00"
"PRINCIPAL","210753.00"
"SCHOOL SECRETARY","83482.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"TEACHER","129631.00"
"TEACHER SPECIAL EDUCATION","140588.00"
"TEACHER SPECIAL EDUCATION","120039.00"
"TEACHER","121839.00"
"TEACHER SPECIAL EDUCATION","121677.00"
"SCHOOL SECRETARY","85987.00"
"GUIDANCE COUNSELOR","144525.00"
"TEACHER","98412.00"
"TEACHER","132305.00"
"GUIDANCE COUNSELOR","144525.00"
"TEACHER SPECIAL EDUCATION","98226.00"
"TEACHER SPECIAL EDUCATION","112973.00"
"TEACHER","128657.00"
"TEACHER","136492.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"TEACHER","132517.00"
"TEACHER","128657.00"
"TEACHER","140588.00"
"TEACHER","136492.00"
"TEACHER","136442.00"
"GUIDANCE COUNSELOR","136229.00"
"TEACHER","133777.00"
"TEACHER SPECIAL EDUCATION","140588.00"
"TEACHER","121677.00"
"ASSISTANT PRINCIPAL","170628.00"
"TEACHER SPECIAL EDUCATION","140588.00"
"TEACHER ASSIGNED A","140588.00"
"TEACHER","140588.00"
"GUIDANCE COUNSELOR","124254.00"
"TEACHER ATTENDANCE","140588.00"
"TEACHER","140588.00"
"ASSISTANT PRINCIPAL","153562.00"
"COMMUNITY SUPERTINDENT","241635.00"
"PRINCIPAL","184657.00"
"TEACHER SPECIAL EDUCATION","71856.00"
"TEACHER","132305.00"
"ASSISTANT SUPERINTENDENT","176040.00"
"TEACHER SPECIAL EDUCATION","105341.00"
"TEACHER ASSIGNED A","102363.00"
"TEACHER","140588.00"
"GUIDANCE COUNSELOR","144525.00"
"TEACHER","132305.00"
"TEACHER","128657.00"
"TEACHER","153088.00"
"GUIDANCE COUNSELOR","136118.00"
"TEACHER","136492.00"
"TEACHER","140588.00"
"TEACHER","132305.00"
"TEACHER","140588.00"
"TEACHER","79149.00"
"TEACHER","136492.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"TEACHER SPECIAL EDUCATION","140588.00"
"TEACHER","128451.00"
"SCHOOL SECRETARY","92627.00"
"GUIDANCE COUNSELOR","144525.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"TEACHER SPECIAL EDUCATION","128657.00"
"TEACHER","98226.00"
"TEACHER","128657.00"
"TEACHER","113803.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"SCHOOL PSYCHOLGIST","121542.00"
"SCHOOL SECRETARY","92627.00"
"GUIDANCE COUNSELOR","140316.00"
"TEACHER","136492.00"
"GUIDANCE COUNSELOR","140316.00"
"TEACHER SPECIAL EDUCATION","136442.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"TEACHER","132305.00"
"TEACHER","136442.00"
"TEACHER","110848.00"
"TEACHER SPECIAL EDUCATION","140588.00"
"TEACHER","136492.00"
"ASSISTANT PRINCIPAL","185873.00"
"TEACHER","140588.00"
"COMMUNITY SUPERTINDENT","187400.00"
"TEACHER","136492.00"
"GUIDANCE COUNSELOR","126208.00"
"TEACHER","121677.00"
"TEACHER SPECIAL EDUCATION","120039.00"
"TEACHER","128657.00"
"EDUCATIONAL ADMINISTRATOR CSA","192582.00"
"TEACHER","140588.00"
"GUIDANCE COUNSELOR","140316.00"
"TEACHER","132305.00"
"SCHOOL PSYCHOLGIST","133011.00"
"TEACHER","109852.00"
"TEACHER","140588.00"
"TEACHER","106509.00"
"ASSISTANT PRINCIPAL","167253.00"
"TEACHER","126097.00"
"TEACHER","140588.00"
"TEACHER","136492.00"
"TEACHER","140588.00"
"TEACHER","140588.00"
"TEACHER SPECIAL EDUCATION","113803.00"
"SCHOOL PSYCHOLGIST","137001.00"
"SCHOOL SECRETARY","84766.00"
