"title_description","base_salary"
"POLICE OFFICER","109352.00"
"SENIOR POLICE ADMINISTRATIVE AIDE","64137.00"
"CITY CUSTODIAL ASSISTANT","43488.00"
"POLICE OFFICER","109352.00"
"CAPTAIN D/A DEPUTY CHIEF","227306.00"
"POLICE OFFICER","109352.00"
"SENIOR POLICE ADMINISTRATIVE AIDE","66433.00"
"CRIMINALIST ASSISTANT DIRECTOR OF LABORATORY","145517.00"
"CAPTAIN DETAILED AS ASSISTANT CHIEF","240511.00"
"SERGEANT-D/A SPECIAL ASSIGNMENT","135511.00"
"COMMUNITY COORDINATOR","76820.00"
"SENIOR POLICE ADMINISTRATIVE AIDE","58976.00"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR","68085.00"
"SENIOR POLICE ADMINISTRATIVE AIDE","66398.00"
"CAPTAIN DETAILED AS CHIEF OF DETECTIVES","241116.00"
"POLICE OFFICER","109352.00"
"POLICE ADMINISTRATIVE AIDE","52800.00"
"POLICE OFFICER D/A DETECTIVE 1ST GR","149518.00"
"POLICE OFFICER D/A DETECTIVE 1ST GR","154751.00"
"POLICE OFFICER D/A DETECTIVE 1ST GR","154751.00"
"SENIOR POLICE ADMINISTRATIVE AIDE","58707.00"
"POLICE OFFICER D/A DETECTIVE 1ST GR","154751.00"
"CAPTAIN D/A INSPECTOR","215791.00"
"CAPTAIN D/A INSPECTOR","215791.00"
"ADMINISTRATIVE STAFF ANALYST","201324.00"
"COMPUTER SPECIALIST","143197.00"
"POLICE OFFICER","109352.00"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR","68798.00"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR","67173.00"
"POLICE ADMINISTRATIVE AIDE","53997.00"
"SENIOR POLICE ADMINISTRATIVE AIDE","59290.00"
"CAPTAIN DETAILED AS ASSISTANT CHIEF","240511.00"
"POLICE OFFICER D/A DETECTIVE 1ST GR","154751.00"
"SERGEANT-D/A SPECIAL ASSIGNMENT","135511.00"
"CHIEF OF PROFESSIONAL STANDARDS","241116.00"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR","80448.00"
"POLICE ATTENDANT","48893.00"
"CAPTAIN DETAILED AS ASSISTANT CHIEF","285448.00"
"SCHOOL CROSSING GUARD","44584.00"
"POLICE SURGEON","169340.00"
"TRAFFIC ENFORCEMENT AGENT","48128.00"
"TRAFFIC ENFORCEMENT AGENT","48128.00"
"TRAFFIC ENFORCEMENT AGENT","48128.00"
"TRAFFIC ENFORCEMENT AGENT","48128.00"
"TRAFFIC ENFORCEMENT AGENT","46234.00"
"TRAFFIC ENFORCEMENT AGENT","48128.00"
"POLICE OFFICER","57976.00"
"TRAFFIC ENFORCEMENT AGENT","48128.00"
"TRAFFIC ENFORCEMENT AGENT","46234.00"
