"title_description","base_salary"
"PROGRAM EVALUATOR","95897.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","100050.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","106346.00"
"AGENCY ATTORNEY","127802.00"
"SPECIAL OFFICER","39206.00"
"SPECIAL OFFICER","41797.00"
"YOUTH DEVELOPMENT SPECIALIST","53176.00"
"CHILD AND FAMILY SPECIALIST","97593.00"
"COMMUNITY COORDINATOR","75537.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","100050.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","100050.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CITY RESEARCH SCIENTIST","110219.00"
"CHILD PROTECTIVE SPECIALIST","58984.00"
"CHILD PROTECTIVE SPECIALIST","68309.00"
"COMMUNITY COORDINATOR","72298.00"
"AGENCY ATTORNEY","122365.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD WELFARE SPECIALIST","70405.00"
"CHILD PROTECTIVE SPECIALIST","62137.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","91339.00"
"ASSOCIATE YOUTH DEVELOPMENT SPECIALIST","81537.00"
"COMMUNITY ASSOCIATE","51227.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","100050.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","64001.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","100050.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD WELFARE SPECIALIST SUPERVISOR","101212.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"DIRECTOR OF FIELD OPERATIONS","124261.00"
"CHILD PROTECTIVE SPECIALIST","57127.00"
"YOUTH DEVELOPMENT SPECIALIST","51502.00"
"COMPUTER SYSTEMS MANAGER","140307.00"
"PROGRAM EVALUATOR","92472.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"YOUTH DEVELOPMENT SPECIALIST","57310.00"
"EXECUTIVE AGENCY COUNSEL","188255.00"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR","61376.00"
"AGENCY ATTORNEY INTERNE","83388.00"
"CHILD PROTECTIVE SPECIALIST","68309.00"
"ADMINISTRATIVE STAFF ANALYST","95132.00"
"DIRECTOR OF FIELD OPERATIONS","119985.00"
"COMMUNITY COORDINATOR","72298.00"
"YOUTH DEVELOPMENT SPECIALIST","52320.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD WELFARE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","64001.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","100050.00"
"CHILD PROTECTIVE SPECIALIST","64001.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD WELFARE SPECIALIST","64600.00"
"CHILD AND FAMILY SPECIALIST","99252.00"
"STAFF ANALYST","76525.00"
"CHILD WELFARE SPECIALIST SUPERVISOR","94276.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"SPECIAL OFFICER","39206.00"
"CHILD AND FAMILY SPECIALIST","97593.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD WELFARE SPECIALIST","70106.00"
"YOUTH DEVELOPMENT SPECIALIST","51502.00"
"COMPUTER SYSTEMS MANAGER","120632.00"
"ADMINISTRATIVE DIRECTOR OF SOCIAL SERVICES","109169.00"
"YOUTH DEVELOPMENT SPECIALIST","59513.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"EXECUTIVE AGENCY COUNSEL","167543.00"
"COMMUNITY COORDINATOR","86875.00"
"CHILD PROTECTIVE SPECIALIST","58984.00"
"ASSOCIATE STAFF ANALYST","91394.00"
"CITY RESEARCH SCIENTIST","87743.00"
"ADMINISTRATIVE DIRECTOR OF SOCIAL SERVICES","106188.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"YOUTH DEVELOPMENT SPECIALIST","53176.00"
"YOUTH DEVELOPMENT SPECIALIST","55507.00"
"CHILD PROTECTIVE SPECIALIST","64059.00"
"ASSOCIATE YOUTH DEVELOPMENT SPECIALIST","81537.00"
"CHILD PROTECTIVE SPECIALIST","65921.00"
"ASSOCIATE YOUTH DEVELOPMENT SPECIALIST","81537.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","78315.00"
"CHILD PROTECTIVE SPECIALIST","65921.00"
"CHILD PROTECTIVE SPECIALIST","67899.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","100050.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","78315.00"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","101213.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"ADMINISTRATIVE DIRECTOR OF RESIDENTIAL CHILD CARE","111482.00"
"CHILD WELFARE SPECIALIST SUPERVISOR","94390.00"
"CHILD PROTECTIVE SPECIALIST","67899.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"COMMUNITY COORDINATOR","80009.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD PROTECTIVE SPECIALIST","70106.00"
"CHILD AND FAMILY SPECIALIST","100813.00"
"CHILD WELFARE SPECIALIST","68309.00"
"YOUTH DEVELOPMENT SPECIALIST","53176.00"
